 date ; ip ; id ; refr ; cookies.langCode ; req_id ; geo ; geo.con ; geo.iso ; geo.city ; ua.isMobile ; ua.isTablet ; ua.isiPad ; ua.isiPod ; ua.isiPhone ; ua.isAndroid ; ua.isBlackberry ; ua.isOpera ; ua.isIE ; ua.isIECompatibilityMode ; ua.isSafari ; ua.isFirefox ; ua.isWebkit ; ua.isChrome ; ua.isKonqueror ; ua.isOmniWeb ; ua.isSeaMonkey ; ua.isFlock ; ua.isAmaya ; ua.isEpiphany ; ua.isDesktop ; ua.isWindows ; ua.isLinux ; ua.isLinux64 ; ua.isMac ; ua.isChromeOS ; ua.isBada ; ua.isSamsung ; ua.isRaspberry ; ua.isBot ; ua.isCurl ; ua.isAndroidTablet ; ua.isWinJs ; ua.isKindleFire ; ua.isSilk ; ua.silkAccelerated ; ua.browser ; ua.version ; ua.os ; ua.platform ; ua.source 
 2015-07-31T10:37:06.204Z ; 91.196.95.99 ; cdc9effd-8d70-42ab-abeb-7f8ba0181044 ; http://local.simplio.com:8080/ ; es ; f5a38680-a48f-4af7-8186-efd23026867a ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.125 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36 
 2015-07-31T10:37:58.317Z ; 91.196.95.99 ; cdc9effd-8d70-42ab-abeb-7f8ba0181044 ; http://local.simplio.com:8080/es/payment?id=@172.31.9.137_2926d173d5fd90e74b76b714432b0a0f.1438339010.6085@26 ; es ; b4f596d1-5e1c-4f25-a80d-0f5969f547f2 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.125 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36 
 2015-07-31T10:41:12.496Z ; 91.196.95.99 ; cdc9effd-8d70-42ab-abeb-7f8ba0181044 ; http://local.simplio.com:8080/es/payment?id=@172.31.9.137_2926d173d5fd90e74b76b714432b0a0f.1438339010.6085@26 ; es ; 7cbfbb96-4bd4-483d-87ae-6f4660172e8a ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.125 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36 
 2015-07-31T10:45:07.964Z ; 14.172.38.15 ; f8f81131-e7aa-4874-b095-a62718918330 ; https://simplio.com/en/payment?id=@172.31.8.94_d2c2c6eb97da29cf44516e53eb16802d.1438339432.4407@52&afid=momondo_us&aver=en ;  ; f8f81131-e7aa-4874-b095-a62718918330 ;  AS , VN , Hanoi  ; AS ; VN ; Hanoi ; true ; true ; true ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Safari ; 8.0 ; OS X ; iPad ; Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4 
 2015-07-31T10:45:14.368Z ; 78.26.151.205 ; 0057b1c1-d900-4788-959a-38d817034d9b ; https://simplio.com/ ;  ; 0057b1c1-d900-4788-959a-38d817034d9b ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.125 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36 
 2015-07-31T10:46:12.403Z ; 94.230.233.159 ; 5a8b766f-a8c9-4321-8384-37767c7b0b15 ; https://simplio.com/en/payment?id=@172.31.8.94_8ca66e87f0523535b1f551aed0ce1b5d.1438339491.4918@0&afid=momondo_us&aver=en ;  ; 5a8b766f-a8c9-4321-8384-37767c7b0b15 ;  AS , UZ , Tashkent  ; AS ; UZ ; Tashkent ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 43.0.2357.130 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36 
 2015-07-31T10:48:14.113Z ; 78.26.151.205 ; 9cb02127-a475-4f00-a4e3-e887e0fa02d7 ; https://simplio.com/ ;  ; 9cb02127-a475-4f00-a4e3-e887e0fa02d7 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.125 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36 
 2015-07-31T10:51:37.988Z ; 91.196.95.99 ; cdc9effd-8d70-42ab-abeb-7f8ba0181044 ; http://local.simplio.com:8080/es/payment?id=@172.31.9.137_2926d173d5fd90e74b76b714432b0a0f.1438339010.6085@26 ; es ; 6d66a62b-3ae0-49cf-91d1-64fcf502d797 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.125 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36 
 2015-07-31T10:52:18.614Z ; 91.196.95.99 ; cdc9effd-8d70-42ab-abeb-7f8ba0181044 ; http://local.simplio.com:8080/es/payment?id=@172.31.9.137_2926d173d5fd90e74b76b714432b0a0f.1438339010.6085@26 ; es ; b57cd66f-e8f7-4ce4-8074-1aa058548a1f ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.125 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36 
 2015-07-31T10:53:15.669Z ; 91.196.95.99 ; 0ec9761b-0ee6-4928-a8ad-f1262e07b9a3 ; http://frontend-rc.simplio.com/ ;  ; d059ee65-e405-49a9-aedd-c492309ba827 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.107 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.107 Safari/537.36 
 2015-07-31T10:56:56.736Z ; 91.196.95.99 ; cdc9effd-8d70-42ab-abeb-7f8ba0181044 ; http://local.simplio.com:8080/es/payment?id=@172.31.9.137_2926d173d5fd90e74b76b714432b0a0f.1438339010.6085@26 ; es ; 742394c7-1f22-42b6-b782-87a84ea0ef7e ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.125 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.125 Safari/537.36 
 2015-07-31T10:58:52.803Z ; 91.196.95.99 ; 3ec107d4-1f46-4574-b99f-73ce6fba0b3f ; https://simplio.com/ ; en ; bae98c90-b7d7-40bc-a7ed-bd9e6efd27c5 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.89 ; Linux 64 ; Linux ; Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36 
 2015-07-31T10:59:23.765Z ; 91.196.95.99 ; 3ec107d4-1f46-4574-b99f-73ce6fba0b3f ; https://simplio.com/en ; en ; 515809b1-2f58-41ca-99cd-1dc7ff606ab5 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.89 ; Linux 64 ; Linux ; Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36 
 2015-07-31T11:00:44.385Z ; 91.196.95.99 ; 3ec107d4-1f46-4574-b99f-73ce6fba0b3f ; https://simplio.com/en/help/contact_us ; en ; 49acae5a-a8f0-43d0-9796-eb6f30072ecf ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.89 ; Linux 64 ; Linux ; Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36 
 2015-07-31T11:03:27.859Z ; 94.230.233.159 ; 5a8b766f-a8c9-4321-8384-37767c7b0b15 ; https://simplio.com/en ;  ; 5b47a261-6178-4626-8918-9f19992fe2d8 ;  AS , UZ , Tashkent  ; AS ; UZ ; Tashkent ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 43.0.2357.130 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36 
